326	AL031283.1
327	EFHD2
328	CTRC
329	CELA2A
330	CELA2B
331	CASP9
332	DNAJC16
333	AL121992.3
334	AGMAT
335	AL121992.1
336	DDI2
337	RSC1A1
338	AL121992.2
339	PLEKHM2
340	AL450998.3
341	SLC25A34
342	SLC25A34-AS1
343	TMEM82
344	FBLIM1
345	UQCRHL
346	AL450998.2
347	SPEN
348	ZBTB17
349	SRARP
350	AL355994.3
351	HSPB7
352	CLCNKA
353	CLCNKB
354	FAM131C
355	EPHA2
356	AL451042.2
357	AL451042.1
358	ARHGEF19-AS1
359	ARHGEF19
360	CPLANE2
361	FBXO42
362	SZRD1
363	SPATA21
364	NECAP2
365	LINC01772
366	AL137802.2
367	AL137802.1
368	LINC01783
369	NBPF1
370	AL137798.1
371	AL137798.2
372	AL021920.1
373	AL021920.3
374	CROCC
375	BX284668.1
376	BX284668.2
377	BX284668.5
378	BX284668.6
379	MFAP2
380	AL049569.1
381	ATP13A2
382	SDHB
383	PADI2
384	AL590644.1
385	AL590644.3
386	PADI1
387	PADI3
388	PADI4
389	PADI6
390	AC004824.1
391	RCC2
392	ARHGEF10L
393	AL136529.1
394	ACTL8
395	AL357509.1
396	LINC01654
397	IGSF21
398	IGSF21-AS1
399	AL591896.1
400	KLHDC7A
401	PAX7
402	TAS1R2
403	AL080251.1
404	ALDH4A1
405	IFFO2
406	UBR4
407	AL035413.1
408	EMC1
409	MRTO4
410	AKR7A3
411	AKR7A2
412	PQLC2
413	CAPZB
414	AL031727.2
415	MINOS1
416	NBL1
417	MINOS1-NBL1
418	HTR6
419	TMCO4
420	RNF186
421	AL391883.1
422	OTUD3
423	PLA2G2E
424	PLA2G2A
425	PLA2G5
426	PLA2G2D
427	PLA2G2F
428	Z98257.1
429	PLA2G2C
430	UBXN10-AS1
431	UBXN10
432	LINC01757
433	Z98257.2
434	VWA5B1
435	AL020998.1
436	LINC01141
437	AL139254.1
438	AL139254.2
439	AL139254.3
440	CAMK2N1
441	MUL1
442	FAM43B
443	CDA
444	PINK1
445	PINK1-AS
446	DDOST
447	KIF17
448	SH2D5
449	AL663074.1
450	HP1BP3
451	EIF4G3
452	ECE1
453	AL031005.1
454	AL031728.1
455	AL592309.2
456	NBPF3
457	ALPL
458	AL359815.1
459	RAP1GAP
460	USP48
461	LDLRAD2
462	HSPG2
463	CELA3B
464	CELA3A
465	LINC01635
466	CDC42
467	AL031281.2
468	WNT4
469	ZBTB40
470	EPHA8
471	C1QA
472	C1QC
473	C1QB
474	EPHB2
475	AL512444.1
476	LACTBL1
477	TEX46
478	KDM1A
479	AL031428.1
480	LUZP1
481	HTR1D
482	LINC01355
483	AL109936.6
484	HNRNPR
485	ZNF436
486	ZNF436-AS1
487	AL109936.2
488	TCEA3
489	ASAP3
490	E2F2
491	AL021154.1
492	ID3
493	MDS2
494	RPL11
495	ELOA
496	ELOA-AS1
497	PITHD1
498	LYPLA2
499	GALE
500	HMGCL
501	FUCA1
502	CNR2
503	AL590609.3
504	PNRC2
505	SRSF10
506	AL591178.1
507	MYOM3
508	AL591178.2
509	IL22RA1
510	IFNLR1
511	AL590683.1
512	AL138902.1
513	GRHL3
514	STPG1
515	NIPAL3
516	RCAN3
517	AL445686.2
518	NCMAP
519	SRRM1
520	AL445648.1
521	CLIC4
522	RUNX3
523	AL445471.1
524	AL445471.2
525	AL050344.1
526	AL031432.1
527	SYF2
528	AL031432.5
529	RSRP1
530	AL031432.3
531	RHD
532	TMEM50A
533	RHCE
534	MACO1
535	LDLRAP1
536	AL606491.1
537	MAN1C1
538	AL031280.1
539	SELENON
540	AL020996.2
541	AL020996.1
542	MTFR1L
543	AL020996.3
544	AUNIP
545	AL033528.2
546	PAQR7
547	STMN1
548	PAFAH2
549	EXTL1
550	SLC30A2
551	TRIM63
552	PDIK1L
553	FAM110D
554	C1orf232
555	AL391650.1
556	ZNF593
557	CNKSR1
558	CATSPER4
559	CEP85
560	SH3BGRL3
561	UBXN11
562	CD52
563	CRYBG2
564	ZNF683
565	LIN28A
566	DHDDS
567	AL513365.2
568	HMGN2
569	RPS6KA1
570	AL512408.1
571	ARID1A
572	PIGV
573	ZDHHC18
574	SFN
575	AL034380.1
576	GPN2
577	GPATCH3
578	NUDC
579	NR0B2
580	KDF1
581	TRNP1
582	TENT5B
583	SLC9A1
584	AL590640.1
585	WDTC1
586	TMEM222
587	SYTL1
588	MAP3K6
589	FCN3
590	CD164L2
591	GPR3
592	WASF2
593	FO393419.2
594	BX293535.1
595	AHDC1
596	FGR
597	LINC02574
598	IFI6
599	AL445490.1
600	FAM76A
601	STX12
602	PPP1R8
603	THEMIS2
604	RPA2
605	SMPDL3B
606	AL512288.1
607	XKR8
608	EYA3
609	PTAFR
610	DNAJC8
611	ATP5IF1
612	AL353622.1
613	AL353622.2
614	SESN2
615	MED18
616	PHACTR4
617	RCC1
618	TRNAU1AP
619	SNHG12
620	TAF12
621	RAB42
622	LINC01715
623	AL360012.1
624	GMEB1
625	YTHDF2
626	OPRD1
627	AL009181.1
628	EPB41
629	TMEM200B
630	AL357500.1
631	SRSF4
632	MECR
633	AL590729.1
634	PTPRU
635	LINC01756
636	AC092265.1
637	AL645944.2
638	LINC01648
639	AL137076.1
640	AL161638.2
641	AL161638.1
642	MATN1
643	MATN1-AS1
644	LAPTM5
645	AL137027.1
646	LINC01778
647	AL445235.1
648	SDC3
649	PUM1
650	NKAIN1
651	SNRNP40
652	ZCCHC17
653	AL451070.1
654	FABP3
655	SERINC2
656	AC114488.1
657	TINAGL1
658	HCRTR1
659	PEF1
660	AC114488.2
661	AC114488.3
662	COL16A1
663	ADGRB2
664	AL354919.2
665	SPOCD1
666	AL354919.1
667	AL136115.2
668	PTP4A2
669	AL136115.1
670	AL136115.3
671	KHDRBS1
672	AL445248.1
673	TMEM39B
674	KPNA6
675	TXLNA
676	CCDC28B
677	AL049795.1
678	IQCC
679	DCDC2B
680	TMEM234
681	EIF3I
682	FAM167B
683	LCK
684	HDAC1
685	MARCKSL1
686	AL109945.1
687	TSSK3
688	FAM229A
689	BSDC1
690	AL033529.1
691	ZBTB8B
692	ZBTB8A
693	ZBTB8OS
694	RBBP4
695	SYNC
696	AC114489.1
697	KIAA1522
698	YARS
699	S100PBP
700	FNDC5
701	HPCA
702	TMEM54
703	RNF19B
704	AL020995.1
705	AK2
706	AZIN2
707	TRIM62
708	AL662907.3
709	ZNF362
710	AL513327.3
711	A3GALT2
712	AL513327.1
713	PHC2
714	AL513327.2
715	ZSCAN20
716	CSMD2
717	HMGB4
718	CSMD2-AS1
719	C1orf94
720	SMIM12
721	GJB5
722	GJB4
723	AL121988.1
724	GJB3
725	GJA4
726	AL122010.1
727	DLGAP3
728	AC114490.3
729	AC114490.2
730	TMEM35B
731	ZMYM6
732	ZMYM1
733	AL590434.1
734	SFPQ
735	ZMYM4
736	ZMYM4-AS1
737	KIAA0319L
738	NCDN
739	AC004865.2
740	TFAP2E
741	PSMB2
742	C1orf216
743	CLSPN
744	AL354864.1
745	AGO4
746	AGO1
747	AL139286.2
748	AGO3
749	AL138787.2
750	TEKT2
751	ADPRHL2
752	COL8A2
753	TRAPPC3
754	MAP7D1
755	THRAP3
756	SH3D21
757	EVA1B
758	AL591845.1
759	STK40
760	LSM10
761	OSCP1
762	MRPS15
763	CSF3R
